date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1998-05-12,52461,-31922,92820,78456,25995,3272,35194
1998-05-19,78020,-53426,120892,104521,26501,3718,57144
1998-05-26,78420,-63478,124590,105999,27579,4611,68089
1998-06-02,83439,-58207,131550,112061,28622,8122,66329
1998-06-09,86299,-60795,154971,130508,44209,8524,69319
1998-06-16,68980,-46747,118902,93267,24287,11528,58275
1998-06-23,44748,-28871,112988,96824,52076,3825,32696
1998-06-30,42652,-28973,108781,93609,50957,4604,33577
1998-07-07,42390,-30045,111492,93987,51597,5381,35426
1998-07-14,44516,-33107,107157,89867,45351,2540,35647
1998-07-21,44844,-32202,110323,90109,45265,5700,37902
1998-07-28,53185,-37924,116184,99801,46616,3130,41054
1998-08-04,67246,-45708,142444,122811,55565,7563,53271
1998-08-11,76003,-54698,150804,133525,57522,3873,58571
1998-08-18,64154,-43425,148067,126354,62200,9012,52437
1998-08-25,59912,-41682,144169,126513,66601,4686,46368
1998-09-01,21450,-15317,136199,108204,86754,9078,24395
1998-09-08,-5824,8430,138490,88417,94241,25433,17003
1998-09-15,-9385,5823,79793,36461,45846,21708,15885
1998-09-22,-4048,2063,77894,40931,44979,18703,16640
1998-09-29,-2484,862,84359,46538,49022,19307,18445
1998-10-06,-10328,7826,89771,42510,52838,28162,20336
1998-10-13,-6078,6249,88116,45098,51176,22889,16640
1998-10-20,-7253,8220,89791,46452,53705,25243,17023
1998-10-27,-6739,4490,87791,46460,53199,22729,18239
1998-11-03,-10063,8705,89560,45258,55321,25093,16388
1998-11-10,2944,1073,95327,60587,57643,16585,15512
1998-11-17,1528,2560,86640,55599,54071,18248,15688
1998-11-24,4486,929,85183,57686,53200,16515,15586
1998-12-01,7595,-2236,84057,58566,50971,12301,14537
1998-12-08,-235,2295,89427,60681,60916,14593,12298
1998-12-15,-9749,8166,65543,25717,35466,19442,11276
1998-12-22,-9449,7910,65463,27894,37343,19626,11716
1998-12-29,-13106,9877,66189,27840,40946,20963,11086
1999-01-05,-29646,22020,78909,23349,52995,32885,10865
1999-01-12,-23952,16926,80474,28249,52201,28236,11310
1999-01-19,-11949,4991,78621,33931,45880,23579,18588
1999-01-26,-11982,8568,78063,36386,48368,23152,14584
1999-02-02,-4755,6104,78317,42246,47001,19197,13093
1999-02-09,-3593,6189,76418,43806,47399,18241,12052
1999-02-16,18203,-11116,72244,49317,31114,7162,18278
1999-02-23,49067,-34290,89085,76879,27812,1484,35774
1999-03-02,53260,-36211,97584,83881,30621,2536,38747
1999-03-09,61682,-44258,124605,108901,47219,1305,45563
1999-03-16,45862,-31792,74429,64147,18285,1878,33670
1999-03-23,42347,-31730,74634,62417,20070,2128,33858
1999-03-30,54330,-38463,85280,74564,20234,2526,40989
1999-04-06,52529,-35697,85436,74516,21987,1738,37435
1999-04-13,50636,-36379,83908,70764,20128,2089,38468
1999-04-20,36190,-25677,85666,66648,30458,3212,28889
1999-04-27,50850,-35310,94472,80259,29409,2906,38216
1999-05-04,57729,-38438,99590,86445,28716,5370,43808
1999-05-11,58615,-44065,102147,89100,30485,2406,46471
1999-05-18,87361,-66697,136084,120244,32883,3018,69715
1999-05-25,80028,-62184,131754,114397,34369,1827,64011
1999-06-01,59333,-45923,118114,98953,39620,3868,49791
1999-06-08,53990,-49002,146342,119962,65972,4801,53803
1999-06-15,41753,-40061,96356,75838,34085,2457,42518
1999-06-22,58267,-50843,104052,91990,33723,2178,53021
1999-06-29,58048,-49067,108234,92536,34488,3561,52628
1999-07-06,62310,-49976,111634,97427,35117,4061,54037
1999-07-13,62117,-53198,113708,96973,34856,5766,58964
1999-07-20,1071,-2710,115699,67218,66147,31756,34466
1999-07-27,-30653,24761,130673,55166,85819,49571,24810
1999-08-03,-50225,41869,131570,49623,99848,56565,14696
1999-08-10,-49370,40077,132678,50009,99379,56618,16541
1999-08-17,-49428,41312,136057,54652,104080,56001,14689
1999-08-24,-51558,44431,139656,55836,107394,59178,14747
1999-08-31,-62162,53902,146870,53367,115529,67229,13327
1999-09-07,-52357,44633,154886,65701,118058,58185,13552
1999-09-14,-49285,41124,93219,15959,65244,54045,12921
1999-09-21,-47375,36899,86942,17679,65054,45832,8933
1999-09-28,-38875,31285,81131,18549,57424,40370,9085
1999-10-05,-35494,26594,79913,21601,57095,36745,10151
1999-10-12,-34764,27170,80770,21956,56720,37387,10217
1999-10-19,-30966,23378,84001,23171,54137,39262,15884
1999-10-26,-35271,27713,84344,24156,59427,39061,11348
1999-11-02,-34407,27807,87789,27394,61801,38605,10798
1999-11-09,-21148,19152,85455,34831,55979,32008,12856
1999-11-16,-14861,14998,84939,36621,51482,31649,16651
1999-11-23,-31333,26711,90091,32035,63368,38048,11337
1999-11-30,-45436,37980,99716,26714,72150,49438,11458
1999-12-07,-37485,30325,107366,41522,79007,41687,11362
1999-12-14,-14666,9666,70377,33178,47844,19012,9346
1999-12-21,-19389,13750,73528,31365,50754,23487,9737
1999-12-28,-20291,16996,73726,31153,51444,26450,9454
